"Product_Num","Machine_Num","Avg_Duration","Step_Num"
"SH001","6","33.9","1"
"SH001","11","13.94","2"
"SH001","27","3.39","3"
"SH001","34","10.56","4"
"SH001","42","56.24","5"
"SH001","59","21.58","6"
"SH001","66","23.97","7"
"SH001","72","7.83","8"
"SH002","6","26.03","1"
"SH002","15","21.47","2"
"SH002","24","7.04","3"
"SH002","35","11","4"
"SH002","44","48.65","5"
"SH002","55","13.94","6"
"SH002","66","86.48","7"
"SH002","72","7.6","8"
"SH003","8","24.81","1"
"SH003","20","11.03","2"
"SH003","28","2.49","3"
"SH003","35","2.49","4"
"SH003","47","29.92","5"
"SH003","55","9.45","6"
"SH003","70","73.79","7"
"SH003","72","7.84","8"
"SH004","6","35.02","1"
"SH004","18","10.59","2"
"SH004","28","4.53","3"
"SH004","37","6.46","4"
"SH004","42","74.04","5"
"SH004","52","11","6"
"SH004","69","53.33","7"
"SH004","72","7.78","8"
"SH005","5","19.61","1"
"SH005","19","17.45","2"
"SH005","30","4.48","3"
"SH005","37","9.49","4"
"SH005","48","46.92","5"
"SH005","53","15.55","6"
"SH005","64","61.55","7"
"SH005","71","8.54","8"
"SH006","4","39.17","1"
"SH006","16","21","2"
"SH006","24","6.1","3"
"SH006","37","9.56","4"
"SH006","44","33.34","5"
"SH006","58","12.08","6"
"SH006","63","34.03","7"
"SH006","71","8.97","8"
"SH007","2","24.27","1"
"SH007","17","10.46","2"
"SH007","26","5.5","3"
"SH007","32","8.47","4"
"SH007","45","52.81","5"
"SH007","54","8.99","6"
"SH007","68","64.01","7"
"SH007","72","7.47","8"
"SH008","10","45.51","1"
"SH008","16","10.48","2"
"SH008","26","2.46","3"
"SH008","39","12.4","4"
"SH008","49","56.05","5"
"SH008","57","14.52","6"
"SH008","70","16.47","7"
"SH008","72","7.68","8"
"SH009","2","37.95","1"
"SH009","15","13.05","2"
"SH009","24","5.5","3"
"SH009","40","13.46","4"
"SH009","43","70","5"
"SH009","54","20.51","6"
"SH009","70","59.46","7"
"SH009","72","7.45","8"
"SH010","9","33.76","1"
"SH010","13","23.91","2"
"SH010","27","5.01","3"
"SH010","37","5.99","4"
"SH010","49","66.26","5"
"SH010","53","18.92","6"
"SH010","62","23.86","7"
"SH010","71","8.78","8"
"SH011","6","39.49","1"
"SH011","15","24.01","2"
"SH011","27","3.53","3"
"SH011","32","7.41","4"
"SH011","49","37.89","5"
"SH011","58","12.02","6"
"SH011","67","67.75","7"
"SH011","72","7.55","8"
"SH012","9","25.5","1"
"SH012","12","11.51","2"
"SH012","28","4.52","3"
"SH012","34","9.97","4"
"SH012","48","65.53","5"
"SH012","53","9.47","6"
"SH012","67","64.32","7"
"SH012","72","7.82","8"
"SH013","5","43.19","1"
"SH013","14","22.96","2"
"SH013","24","2.48","3"
